Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity
1642727196994,8.78125,
1642727196986,,4480
1642727196977,7.09375,
1642727196970,,4479.99951171875
1642727196878,7.40625,
1642727196871,,4491.42822265625
1642727196862,6.15625,
1642727196855,,4491.42822265625
1642727196764,6.5,
1642727196757,,4502.8564453125
1642727196746,6.5,
1642727196736,,4502.8564453125
1642727196612,7.15625,
1642727196605,,4508.5712890625
1642727196590,7.90625,
1642727196583,,4514.28564453125
1642727196496,6.625,
1642727196489,,4514.28515625
1642727196475,8.0625,
1642727196467,,4519.99951171875
1642727196380,6.3125,
1642727196373,,4525.7138671875
1642727196356,7.75,
1642727196349,,4531.4287109375
1642727196259,6.25,
1642727196252,,4542.857421875
1642727196241,7.03125,
1642727196217,,4537.14404296875
1642727196112,8.1875,
1642727196105,,4548.572265625
1642727196095,7.90625,
1642727196088,,4542.85791015625
1642727195996,8,
1642727195989,,4548.572265625
1642727195979,8.21875,
1642727195972,,4548.5712890625
1642727195876,7.625,
1642727195869,,4548.57177734375
1642727195859,8.84375,
1642727195853,,4554.28662109375
1642727195754,7.6875,
1642727195747,,4548.5712890625
1642727195737,8.90625,
1642727195730,,4548.5712890625
1642727195639,7.3125,
1642727195633,,4554.2861328125
1642727195621,9.0625,
1642727195614,,4554.2861328125
1642727195524,7.21875,
1642727195516,,4560
1642727195506,8.5,
1642727195498,,4560
1642727195403,8.15625,
1642727195397,,4559.99951171875
1642727195386,6.84375,
1642727195380,,4565.71435546875
1642727195289,9.59375,
1642727195282,,4560
1642727195272,9.59375,
1642727195265,,4560
1642727195174,7.5,
1642727195167,,4565.71533203125
1642727195157,8.46875,
1642727195150,,4560
1642727195055,7.1875,
1642727195047,,4565.71484375
1642727195037,7.46875,
1642727195031,,4565.71484375
1642727194935,7.84375,
1642727194928,,4559.99951171875
1642727194918,7.71875,
1642727194911,,4565.71435546875
1642727194815,9.3125,
1642727194809,,4560
1642727194798,7.28125,
1642727194791,,4560
1642727194699,9.21875,
1642727194692,,4560.00146484375
1642727194681,7.59375,
1642727194674,,4560.00146484375
1642727194580,8.09375,
1642727194574,,4565.71533203125
1642727194564,7.53125,
1642727194557,,4560.0009765625
1642727194462,8.65625,
1642727194456,,4560.0009765625
1642727194446,8.875,
1642727194439,,4560.00146484375
1642727194344,7.28125,
1642727194336,,4554.2861328125
1642727194327,10.59375,
1642727194320,,4560.0009765625
1642727194224,7.84375,
1642727194218,,4560.0009765625
1642727194208,9.90625,
1642727194201,,4560.00146484375
1642727194105,6.6875,
1642727194098,,4560.0009765625
1642727194088,8.84375,
1642727194081,,4560.0009765625
1642727193988,7.25,
1642727193982,,4560.0009765625
1642727193972,7.25,
1642727193965,,4560.0009765625
1642727193872,7.40625,
1642727193865,,4560.00146484375
1642727193854,8.5,
1642727193847,,4560.0009765625
1642727193757,6.625,
1642727193750,,4554.2861328125
1642727193739,9.71875,
1642727193731,,4554.2861328125
1642727193637,6.75,
1642727193630,,4554.28662109375
1642727193620,8.53125,
1642727193613,,4554.28662109375
1642727193522,7.25,
1642727193515,,4554.2861328125
1642727193505,8.0625,
1642727193498,,4554.2861328125
1642727193405,8.5,
1642727193397,,4554.2861328125
1642727193387,6.90625,
1642727193381,,4548.57080078125
1642727193288,11.3125,
