Timestamp,Level,Function,Line,Message
1.229110,I,DisabledInit,43,Disabling
Timestamp,Level,Function,Line,Message
1.239778,I,DriveSubsystem::Periodic,117,InputX,InputY,InputRot,OdoX,OdoY,OdoRot
5.463070,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.483092,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.503091,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.523227,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.543061,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.563115,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.583037,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.602914,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.623021,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.642874,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.662907,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.683015,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.703024,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.723326,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.742978,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.762869,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.782887,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.803035,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.822885,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.842940,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.862885,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.882886,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.902922,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.922946,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.942940,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.962891,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
5.983123,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.002870,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.022924,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.042944,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.062936,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.083262,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.102852,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.122927,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.142937,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.163144,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.182934,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.202869,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.222859,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.242938,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.262955,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.282892,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.302908,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.322947,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.343253,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.362977,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.382974,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.402996,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.423156,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.443050,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.462859,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.482873,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.502870,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.522934,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.543088,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.562890,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.582869,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.603241,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.622849,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.643093,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.662892,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.683147,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.702957,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.722864,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.742892,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.763129,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.782893,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.802957,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.822945,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
6.842995,I,DriveSubsystem::Periodic,119,,0.000,0.000,0.000,0.000,0.000,0.044
