Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Input Voltage
1642730370371,,3868.57177734375,
1642730370359,,,12.2890625
1642730370352,6.21875,,
1642730370345,,3868.57177734375,
1642730370254,8.96875,,
1642730370247,,3868.57177734375,
1642730370235,,,12.203125
1642730370228,9.40625,,
1642730370221,,3868.57177734375,
1642730370128,8.59375,,
1642730370121,,3862.857421875,
1642730370109,,,12.2421875
1642730370102,8.5,,
1642730370094,,3868.572265625,
1642730369997,8.28125,,
1642730369990,,3862.857421875,
1642730369979,,,12.1640625
1642730369971,9.1875,,
1642730369963,,3862.857421875,
1642730369868,7.03125,,
1642730369861,,3862.857421875,
1642730369850,,,12.109375
1642730369842,9.96875,,
1642730369835,,3862.85791015625,
1642730369744,7.875,,
1642730369737,,3868.5712890625,
1642730369725,,,12.203125
1642730369718,8.09375,,
1642730369710,,3862.857421875,
1642730369618,10.625,,
1642730369609,,3868.572265625,
1642730369597,,,12.171875
1642730369590,8.15625,,
1642730369572,,3862.857421875,
1642730369480,8.375,,
1642730369472,,3857.1435546875,
1642730369461,,,12.25
1642730369454,5.8125,,
1642730369447,,3862.85791015625,
1642730369357,6.875,,
1642730369349,,3857.142578125,
1642730369337,,,12.15625
1642730369330,9.4375,,
1642730369323,,3862.85693359375,
1642730369230,7.34375,,
1642730369223,,3862.857421875,
1642730369211,,,12.171875
1642730369204,9.4375,,
1642730369197,,3857.1435546875,
1642730369107,8.4375,,
1642730369099,,3857.14306640625,
1642730369087,,,12.1953125
1642730369080,8.34375,,
1642730369073,,3851.4287109375,
1642730368981,8.28125,,
1642730368973,,3851.42919921875,
1642730368962,,,12.2265625
1642730368954,8.1875,,
1642730368947,,3851.42919921875,
1642730368853,10.4375,,
1642730368845,,3845.71435546875,
1642730368834,,,12.203125
1642730368827,8.375,,
1642730368819,,3845.71435546875,
1642730368729,7.90625,,
1642730368721,,3840,
1642730368710,,,12.1796875
1642730368703,8.09375,,
1642730368695,,3840,
1642730368605,8.8125,,
1642730368597,,3834.28564453125,
1642730368586,,,12.046875
1642730368579,11.40625,,
1642730368571,,3834.28564453125,
1642730368479,7.875,,
1642730368472,,3828.5712890625,
1642730368460,,,12.15625
1642730368453,9.71875,,
1642730368445,,3822.85693359375,
1642730368350,10.875,,
1642730368342,,3811.42822265625,
1642730368330,,,12.171875
1642730368323,8.21875,,
1642730368316,,3799.99951171875,
1642730368223,11.9375,,
1642730368215,,3788.5703125,
1642730368204,,,12.171875
1642730368197,9.78125,,
1642730368190,,3788.5703125,
1642730368096,10.21875,,
1642730368088,,3748.570556640625,
1642730368077,,,12.0859375
1642730368070,11.1875,,
1642730368062,,3748.570556640625,
1642730367965,13.875,,
1642730367957,,3714.28515625,
1642730367946,,,12.078125
1642730367938,12.46875,,
1642730367931,,3680,
1642730367836,12.5,,
1642730367828,,3622.85791015625,
1642730367817,,,11.9140625
1642730367809,16.75,,
1642730367802,,3594.2861328125,
1642730367712,16.3125,,
1642730367704,,3502.8564453125,
1642730367693,,,11.875
1642730367686,16.53125,,
1642730367678,,3502.8564453125,
1642730367588,20.0625,,
1642730367580,,3542.85693359375,
1642730367569,,,11.6953125
1642730367562,20.0625,,
1642730367554,,3588.5712890625,
1642730367462,26.21875,,
1642730367454,,3760.00048828125,
1642730367443,,,11.3515625
1642730367436,29.875,,
1642730367428,,3828.57177734375,
1642730367338,8.09375,,
1642730367330,,3862.85791015625,
1642730367319,,,12.2578125
1642730367312,8.75,,
1642730367304,,3868.57177734375,
1642730367212,6.5,,
1642730367204,,3862.857421875,
1642730367193,,,12.2890625
1642730367186,7.8125,,
1642730367179,,3862.857421875,
1642730367088,10.40625,,
1642730367081,,3862.857421875,
1642730367069,,,12.296875
1642730367062,7.75,,
1642730367055,,3862.857421875,
1642730366958,10.46875,,
1642730366950,,3868.57177734375,
1642730366937,,,12.3203125
1642730366928,7.21875,,
1642730366921,,3862.85791015625,
1642730366837,6.21875,,
1642730366829,,3868.57177734375,
1642730366810,,,12.375
1642730366802,5.75,,
1642730366795,,3868.57177734375,
1642730366716,6.875,,
1642730366708,,3868.5712890625,
1642730366685,,,12.2890625
1642730366678,8.40625,,
1642730366670,,3874.28564453125,
1642730366593,7.125,,
1642730366568,,3874.28662109375,
1642730366555,,,12.296875
1642730366548,8.3125,,
1642730366541,,3874.2861328125,
1642730366449,6.875,,
1642730366441,,3874.28662109375,
1642730366429,,,12.21875
1642730366422,9.21875,,
1642730366415,,3874.2861328125,
1642730366325,7.5625,,
1642730366317,,3874.2861328125,
1642730366305,,,12.2421875
1642730366299,7.9375,,
1642730366291,,3874.2861328125,
1642730366199,8.8125,,
1642730366191,,3880.0009765625,
1642730366180,,,12.328125
1642730366173,5.59375,,
1642730366165,,3874.2861328125,
1642730366074,8.96875,,
1642730366067,,3880.00048828125,
1642730366055,,,12.28125
1642730366048,8.59375,,
1642730366040,,3880.00048828125,
1642730365948,6.8125,,
1642730365941,,3874.28662109375,
1642730365930,,,12.2265625
1642730365922,8.34375,,
1642730365915,,3880.0009765625,
1642730365821,7.25,,
1642730365813,,3874.2861328125,
