Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Input Voltage,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity
1642730727041,12.015625,,
1642730727035,,11.5625,
1642730727027,,,4177.1435546875
1642730726934,,12.6875,
1642730726927,,,4142.85693359375
1642730726915,11.8515625,,
1642730726908,,15.40625,
1642730726901,,,4142.85693359375
1642730726804,,14.0625,
1642730726797,,,4068.57080078125
1642730726785,11.890625,,
1642730726778,,14.375,
1642730726771,,,4045.7138671875
1642730726680,,16.1875,
1642730726673,,,3954.2861328125
1642730726662,11.765625,,
1642730726654,,18.53125,
1642730726647,,,3914.28515625
1642730726550,,19.15625,
1642730726543,,,3851.4287109375
1642730726531,11.5859375,,
1642730726524,,24.5625,
1642730726517,,,3885.71435546875
1642730726424,,23.375,
1642730726417,,,4022.857421875
1642730726406,11.21875,,
1642730726399,,32.3125,
1642730726391,,,4080.00048828125
1642730726295,,13.34375,
1642730726287,,,4228.572265625
1642730726276,12.1171875,,
1642730726269,,10.25,
1642730726261,,,4234.287109375
1642730726163,,11.9375,
1642730726155,,,4234.2861328125
1642730726144,12.1015625,,
1642730726137,,10.6875,
1642730726128,,,4234.2861328125
1642730726034,,10.34375,
1642730726027,,,4228.57177734375
1642730726015,12.0390625,,
1642730726009,,14.4375,
1642730726001,,,4228.57177734375
1642730725907,,13.9375,
1642730725899,,,4234.2861328125
1642730725887,12.078125,,
1642730725880,,13.1875,
1642730725873,,,4234.28564453125
1642730725782,,13.59375,
1642730725774,,,4228.5712890625
1642730725763,12.1171875,,
1642730725756,,11.125,
1642730725749,,,4234.2861328125
1642730725657,,10.71875,
1642730725649,,,4234.28662109375
1642730725637,12.09375,,
1642730725630,,11.3125,
1642730725623,,,4234.28662109375
1642730725529,,11.5,
1642730725522,,,4240.0009765625
1642730725510,12.1328125,,
1642730725503,,9.1875,
1642730725495,,,4240.0009765625
1642730725402,,10.28125,
1642730725395,,,4240.00146484375
1642730725383,12.109375,,
1642730725376,,12.03125,
1642730725368,,,4240.00048828125
1642730725276,,12.375,
1642730725268,,,4240.0009765625
1642730725257,12.078125,,
1642730725250,,11.34375,
1642730725242,,,4240.0009765625
1642730725145,,12.71875,
1642730725138,,,4240.00146484375
1642730725126,12.0625,,
1642730725119,,11.59375,
1642730725111,,,4240.00048828125
1642730725019,,10.03125,
1642730725012,,,4240.0009765625
1642730725000,11.984375,,
1642730724993,,13.4375,
1642730724985,,,4240.0009765625
1642730724893,,13.96875,
1642730724885,,,4240.00048828125
1642730724874,12.0234375,,
1642730724867,,11.4375,
1642730724859,,,4240.00146484375
1642730724763,,13.59375,
1642730724755,,,4234.2861328125
1642730724744,12.0625,,
1642730724737,,10.40625,
1642730724729,,,4234.2861328125
1642730724641,,10.78125,
1642730724629,,,4228.572265625
1642730724608,12.03125,,
1642730724594,,10.625,
1642730724576,,,4228.57177734375
1642730724486,,10.8125,
1642730724479,,,4217.14306640625
1642730724467,12.0546875,,
1642730724460,,10.96875,
1642730724453,,,4217.1435546875
1642730724361,,12.625,
1642730724353,,,4205.71484375
1642730724342,12.0859375,,
1642730724334,,10.78125,
1642730724327,,,4199.99951171875
1642730724233,,11.59375,
1642730724224,,,4188.572265625
1642730724212,12.03125,,
1642730724205,,11.59375,
1642730724193,,,4188.572265625
1642730724075,,12.71875,
1642730724067,,,4182.8583984375
1642730724056,12.0625,,
1642730724049,,12.21875,
1642730724041,,,4177.1435546875
1642730723951,,12.375,
1642730723943,,,4171.42919921875
1642730723927,12.0859375,,
1642730723906,,11.21875,
1642730723877,,,4165.71533203125
1642730723780,,8.15625,
1642730723772,,,4154.2861328125
1642730723761,12.046875,,
1642730723754,,10.84375,
1642730723746,,,4148.57177734375
1642730723653,,14.40625,
1642730723646,,,4137.14306640625
1642730723634,12.0546875,,
1642730723627,,10.75,
1642730723620,,,4137.14306640625
1642730723522,,9.96875,
1642730723515,,,4119.99951171875
1642730723502,11.9453125,,
1642730723494,,13.8125,
1642730723484,,,4114.28466796875
1642730723407,,14.6875,
1642730723399,,,4102.85693359375
1642730723372,12.0859375,,
1642730723365,,9.71875,
1642730723357,,,4102.8564453125
1642730723269,,11.46875,
1642730723261,,,4085.71337890625
1642730723249,12.046875,,
1642730723236,,11.40625,
1642730723211,,,4079.99853515625
1642730723128,,11.25,
1642730723120,,,4068.56982421875
1642730723095,12.1484375,,
1642730723087,,10.375,
1642730723080,,,4068.57080078125
1642730722982,,10.8125,
1642730722974,,,4068.5703125
1642730722963,11.96875,,
1642730722955,,12.96875,
1642730722945,,,4068.5703125
1642730722851,,7.15625,
1642730722841,,,4062.85595703125
1642730722829,12.21875,,
1642730722823,,8.53125,
1642730722815,,,4062.85595703125
1642730722713,,10.21875,
1642730722705,,,4062.85595703125
1642730722694,12.234375,,
1642730722687,,8.9375,
1642730722679,,,4062.85595703125
1642730722587,,9.8125,
1642730722579,,,4062.85546875
1642730722568,12.0390625,,
1642730722561,,12.15625,
1642730722553,,,4062.85595703125
1642730722463,,8.125,
1642730722455,,,4057.1416015625
1642730722444,12.1484375,,
1642730722437,,10.125,
1642730722430,,,4057.1416015625
1642730722337,,11.21875,
1642730722329,,,4057.14208984375
1642730722318,12.2265625,,
1642730722311,,9.40625,
1642730722303,,,4057.1416015625
1642730722210,,12.0625,
1642730722203,,,4057.1416015625
1642730722192,12.2109375,,
1642730722185,,8.21875,
1642730722177,,,4051.42724609375
1642730722086,,10.25,
1642730722079,,,4057.14208984375
1642730722068,12.1796875,,
1642730722061,,8.9375,
1642730722053,,,4051.42724609375
1642730721961,,8.21875,
1642730721953,,,4051.42724609375
1642730721942,12.125,,
1642730721935,,12.65625,
1642730721927,,,4057.14208984375
1642730721837,,7.90625,
1642730721829,,,4051.4267578125
1642730721818,12.15625,,
1642730721811,,9.53125,
1642730721803,,,4057.1416015625
1642730721720,,10.75,
1642730721713,,,4051.4267578125
1642730721682,12.265625,,
1642730721674,,8.375,
1642730721667,,,4051.427734375
1642730721600,,11.03125,
1642730721593,,,4051.42724609375
